region,несовершеннолетние,ранее_совершавшие,ранее_судимые,группа_лиц,группа_лиц_предварительный_сговор,организованная_группа,преступное_сообщество,в_состоянии_опьянения_всего,алкогольное_опьянение,наркотическое_опьянение
Алтайский край,887,15400,7278,64,901,87,2,9396,46,0
Амурская область,431,6001,3078,52,409,57,0,3123,108,2
Архангельская область,571,6818,3648,49,994,54,0,4222,32,4
Астраханская область,343,5395,2622,42,680,80,19,2534,70,2
Белгородская область,219,4599,2787,15,505,26,129,2251,49,0
Брянская область,197,5177,2994,26,539,125,1,3094,18,3
Владимирская область,378,5546,3381,16,602,33,7,3078,21,1
Волгоградская область,873,10806,5716,73,1453,118,2,6228,101,2
Вологодская область,510,6375,3523,40,775,31,41,3584,71,0
Воронежская область,481,7526,4299,28,1007,116,21,4006,180,0
Еврейская автономная область,66,1044,577,4,50,3,0,509,5,0
Забайкальский край,733,8501,4799,43,838,94,15,6297,107,3
Ивановская область,300,4158,2235,11,439,96,3,2304,29,0
Иркутская область,1150,15125,7818,86,1201,195,9,8974,103,0
Кабардино-Балкарская Республика,134,2541,1429,15,390,43,5,614,67,0
Калининградская область,295,4501,2484,20,300,24,2,1999,36,0
Калужская область,409,4237,2519,19,637,604,6,2181,30,4
Камчатский край,160,1921,1016,15,158,22,3,1103,17,0
Карачаево-Черкесская Республика,86,1812,1032,8,432,77,71,703,40,0
Кемеровская область,1507,20250,11114,100,1242,90,18,10717,112,0
Кировская область,551,7523,4461,41,565,77,0,4644,34,4
Костромская область,158,3162,1716,12,379,15,0,1885,23,0
Краснодарский край,936,18776,10268,97,2523,149,7,6290,119,3
Красноярский край,1006,17372,8506,85,1406,312,1,8649,128,2
Курганская область,399,6529,3181,20,737,299,11,3807,188,12
Курская область,305,4919,3045,8,615,44,84,2572,60,1
Ленинградская область,309,4600,2557,52,694,26,15,2842,81,1
Липецкая область,242,4318,2024,16,370,28,55,2036,21,0
Магаданская область,59,932,512,12,43,24,12,592,7,0
Москва,480,16228,9037,103,4090,4599,151,6614,891,5
Московская область,767,21162,14852,262,3455,481,17,9491,714,0
Мурманская область,263,3770,2114,12,218,22,2,1663,14,1
Нижегородская область,828,12512,7412,44,2153,242,11,6824,195,1
Новгородская  область,384,3070,2040,18,591,91,61,1910,5,1
Новосибирская область,1075,12547,7612,34,1443,260,36,5122,169,2
Омская область,275,9928,5587,59,736,104,0,4508,59,2
Оренбургская область,500,10617,6455,56,1856,444,13,5587,132,0
Орловская область,122,2415,1293,16,300,20,87,1163,20,0
Пензенская область,214,5192,2826,31,561,45,16,3184,26,0
Пермский край,958,13730,8444,94,1521,358,30,7991,132,2
Приморский край,643,10360,5564,81,683,70,9,4875,141,0
Псковская область,198,3192,1823,7,554,125,299,1762,15,0
Республика Адыгея,76,1656,679,2,180,49,0,605,20,0
Республика Алтай,125,2326,1123,1,123,10,0,1529,2,0
Республика Башкортостан,982,17067,10120,78,1228,169,21,11372,113,6
Республика Бурятия,646,7394,3310,29,425,116,58,4917,102,0
Республика Дагестан,212,4629,2102,37,559,183,22,757,17,0
Республика Ингушетия,26,305,205,13,58,12,8,91,34,0
Республика Калмыкия,69,1280,572,17,54,18,1,673,15,1
Республика Карелия,498,4313,2307,16,442,97,44,2440,52,11
Республика Коми,507,6457,4045,57,434,160,19,4150,37,1
Республика Крым,396,6678,3743,23,825,106,17,2705,72,0
Республика Марий Эл,175,2273,1098,4,261,24,4,1580,9,0
Республика Мордовия,163,3449,1866,21,311,297,40,1890,56,0
Республика Саха,335,4479,2183,43,303,132,7,4092,28,0
Республика Северная Осетия-Алания,70,2972,2008,14,202,40,1,436,60,0
Республика Татарстан,873,15265,8444,65,1659,196,9,8246,423,0
Республика Тыва,258,2540,1284,17,159,6,1,2074,12,0
Республика Хакасия,238,4785,2507,17,239,23,24,2651,50,0
Ростовская область,848,16524,9758,87,2372,100,0,5731,103,1
Рязанская область,192,3408,1822,13,476,12,6,1704,27,0
Самарская область,973,15019,9180,41,2648,239,35,5540,220,3
Санкт-Петербург,443,10395,6062,71,1484,375,20,3099,457,0
Саратовская область,459,9113,5259,47,1024,71,30,5132,109,0
Сахалинская область,250,3047,1607,21,332,52,0,1793,58,0
Свердловская область,1613,20390,12233,90,2547,233,4,11736,146,6
Севастополь,71,1089,586,10,164,11,0,662,22,0
Смоленская область,266,4409,2446,25,556,65,7,2274,26,0
Ставропольский край,602,10722,6609,148,937,209,176,3052,75,4
Тамбовская область,208,5822,3167,22,495,30,98,2705,21,0
Тверская область,375,4893,2892,31,834,35,0,2950,57,0
Томская область,397,6940,3744,34,464,45,3,3242,41,1
Тульская область,221,4365,2775,19,565,174,1,2403,40,0
Тюменская область,852,16414,8735,74,1608,157,96,10555,356,2
Удмуртская Республика,550,9518,5187,25,805,258,26,6033,218,0
Ульяновская область,299,5475,3056,18,351,139,8,2930,29,0
Хабаровский край,586,8150,3809,49,666,172,7,3948,107,2
Челябинская область,1714,22074,11816,129,2878,396,22,10842,274,3
Чеченская Республика,6,894,391,5,31,30,0,153,1,0
Чувашская Республика,358,4786,2626,16,568,500,239,2495,175,0
Чукотский автономный округ,15,322,143,3,11,0,0,282,0,0
Ярославская область,269,4742,2620,25,590,83,0,2488,143,0
