region,morbidity_rate_2020
Белгородская область,72498.65
Брянская область,83317.29
Владимирская область,96285.63
Воронежская область,55299.75
Ивановская область,94982.41
Калужская область,71392.91
Костромская область,78477.99
Курская область,51967.06
Липецкая область,65660.75
Московская область,75775.21
Орловская область,100961.51
Рязанская область,73084.38
Смоленская область,68301.99
Тамбовская область,59000.9
Тверская область,96995.03
Тульская область,70337.27
Ярославская область,83617.51
Москва,63570.09
Республика Карелия,118516.01
Республика Коми,116482.33
Архангельская область (включая Ненецкий АО),142701.65
Вологодская область,92618.98
Калининградская область,83449.65
Ленинградская область,65376.69
Мурманская область,90375.6
Новгородская область,92751.81
Псковская область,73978.84
Санкт-Петербург,104974.46
Республика Адыгея,70951.56
Республика Калмыкия,67683.97
Краснодарский край,72743.12
Астраханская область,62153.14
Волгоградская область,63661.99
Ростовская область,81309.39
Республика Дагестан,77445.07
Республика Ингушетия,98454.45
Кабардино-Балкарская Республика,48165.66
Карачаево-Черкесская Республика,74033.12
Республика Северная Осетия-Алания,74569.82
Чеченская Республика,80291.4
Ставропольский край,63022.92
Республика Башкортостан,84063.0
Республика Марий Эл,99783.61
Республика Мордовия,67540.22
Республика Татарстан (Татарстан),81676.85
Удмуртская Республика,101542.88
Чувашская Республика - Чувашия,101145.55
Пермский край,96916.46
Кировская область,77876.24
Нижегородская область,100160.09
Оренбургская область,74796.21
Пензенская область,66896.12
Самарская область,110567.83
Саратовская область,79603.07
Ульяновская область,91583.07
Курганская область,96723.76
Свердловская область,76260.56
Тюменская область (включая ХМАО и ЯНАО),98711.95
Челябинская область,94667.24
Республика Алтай,91247.05
Республика Тыва,62468.22
Республика Хакасия,88244.73
Алтайский край,116618.39
Красноярский край,81755.55
Иркутская область,103789.88
Кемеровская область,91645.27
Новосибирская область,80298.1
Омская область,96597.5
Томская область,69819.45
Республика Бурятия,62831.38
Республика Саха (Якутия),114795.36
Забайкальский край,74227.68
Камчатский край,81256.05
Приморский край,76039.2
Хабаровский край,68885.29
Амурская область,93183.5
Магаданская область,62891.99
Сахалинская область,80788.1
Еврейская автономная область,73010.51
Чукотский автономный округ,117093.55
Республика Крым,49221.4
Севастополь,58453.0
