region,year,workers_percent
Алтайский край,2020,81.74
Амурская область,2020,85.54
Архангельская область,2020,100.0
Астраханская область,2020,93.44
Белгородская область,2020,95.92
Брянская область,2020,82.28
Владимирская область,2020,87.02
Волгоградская область,2020,77.74
Вологодская область,2020,86.8
Воронежская область,2020,89.0
Еврейская автономная область,2020,75.02
Забайкальский край,2020,81.92
Ивановская область,2020,78.62
Иркутская область,2020,89.44
Кабардино-Балкарская Республика,2020,80.62
Калининградская область,2020,87.44
Калужская область,2020,95.78
Камчатский край,2020,95.32
Карачаево-Черкесская Республика,2020,65.56
Кемеровская область,2020,80.6
Кировская область,2020,88.24
Костромская область,2020,85.62
Краснодарский край,2020,89.22
Красноярский край,2020,85.46
Курганская область,2020,81.68
Курская область,2020,79.08
Ленинградская область,2020,87.08
Липецкая область,2020,96.06
Магаданская область,2020,100.0
Москва,2020,100.0
Московская область,2020,85.84
Мурманская область,2020,85.06
Нижегородская область,2020,93.74
Новгородская область,2020,90.96
Новосибирская область,2020,87.42
Омская область,2020,86.6
Оренбургская область,2020,78.82
Орловская область,2020,71.54
Пензенская область,2020,87.1
Пермский край,2020,80.72
Приморский край,2020,94.28
Псковская область,2020,81.06
Республика Адыгея,2020,60.16
Республика Алтай,2020,72.66
Республика Башкортостан,2020,78.3
Республика Бурятия,2020,69.94
Республика Дагестан,2020,62.02
Республика Ингушетия,2020,86.0
Республика Калмыкия,2020,76.0
Республика Карелия,2020,85.24
Республика Коми,2020,89.94
Республика Крым,2020,100.0
Республика Марий Эл,2020,82.84
Республика Мордовия,2020,90.9
Республика Саха,2020,88.6
Республика Северная Осетия-Алания,2020,73.72
Республика Татарстан,2020,97.5
Республика Тыва,2020,58.2
Республика Хакасия,2020,82.02
Ростовская область,2020,87.54
Рязанская область,2020,87.02
Самарская область,2020,100.0
Санкт-Петербург,2020,100.0
Саратовская область,2020,81.14
Сахалинская область,2020,100.0
Свердловская область,2020,94.38
Севастополь,2020,100.0
Смоленская область,2020,82.22
Ставропольский край,2020,78.18
Тамбовская область,2020,90.36
Тверская область,2020,97.74
Томская область,2020,77.2
Тульская область,2020,91.1
Тюменская область,2020,100.0
Удмуртская Республика,2020,90.8
Ульяновская область,2020,87.08
Хабаровский край,2020,89.2
Челябинская область,2020,93.96
Чеченская Республика,2020,82.56
Чувашская Республика,2020,81.92
Чукотский автономный округ,2020,100.0
Ярославская область,2020,92.98
